Well,lon,lat,x,y,x_zero,y_zero,Tem,EC,pH,Cl,NO3,SO4,HCO3,Na,K,Mg,Ca,Li,SiO2,CO2,Total As,Screen Lengh,Elevtion,Well bottom,Sampling date,Sample name,Cl,NO,SO,HCO,Na,K,Mg,Ca
58,131.47805,33.31609,730688.8994,3689070.696,2541,4660,90.4,766,5.9,1740,,319,12.2,1150,171,3.9,38.3,7,326.9816878,43.1,1.47,,122,,2019/06/11,中野屋,49.01 ,0.00 ,6.65 ,0.20 ,50.00 ,4.38 ,0.33 ,1.92 
59,131.4713593,33.31624396,730065.4832,3689072.982,1917,4663,97.5,212,7.8,296,,432,86.7,381,22.4,1,36.3,1.2,142.3332053,1.8,0.127,250.0,172,-78.0,2017/09/15,神和苑,8.34 ,0.00 ,9.00 ,1.42 ,16.57 ,0.57 ,0.08 ,1.82 
60,131.4724,33.3164,730161.9784,3689092.585,2014,4682,98,628,7.5,1849,,241.3,35,1173,150.5,1,44.1,6.8,495.3964912,13,1.62,200.0,160,-40.0,2017/01/24,かまど地獄,52.08 ,0.00 ,5.03 ,0.57 ,51.00 ,3.86 ,0.08 ,2.21 
61,131.4782287,33.31652296,730704.3977,3689119.11,2556,4709,95.5,651,3.6,1650,,363,,1100,177,4.8,37,6.9,470.0842617,21.1,1.3,,121,,2016/03/30,うかり湯,46.48 ,0.00 ,7.56 ,0.00 ,47.83 ,4.54 ,0.40 ,1.85 
62,131.4688,33.316827,729825.6408,3689131.998,1677,4722,94.5,668,3.9,2150,,323,,1210,177,4.6,46.6,10.2,465.4680497,21.6,1.62,,177,,2019/01/10,海地獄,60.56 ,0.00 ,6.73 ,0.00 ,52.61 ,4.54 ,0.38 ,2.33 
63,131.4537741,33.317927,728423.6347,3689220.962,275,4811,74.4,121,2.6,3.3,,254,,20.7,5.1,8.3,20.2,0.001,117.7134076,9.7,0.001,,311,,2015/06/01,?岡本屋旅館,0.09 ,0.00 ,5.29 ,0.00 ,0.90 ,0.13 ,0.69 ,1.01 
64,131.460895,33.318346,729085.5901,3689283.062,937,4873,98.6,965,2.4,2290,,877,,1260,261,44,112,11.4,438.540146,5.3,0.725,350.0,352,2.0,2019/09/10,ＡＮＡ源泉,64.51 ,0.00 ,18.27 ,0.00 ,54.78 ,6.69 ,3.67 ,5.60 
65,131.475121,33.318909,730408.7392,3689376.864,2260,4967,92.2,562,2.9,1190,,483,,732,103,13.4,48.2,6,233.8880779,9.2,0.925,,184,,2019/01/15,さくら亭,33.52 ,0.00 ,10.06 ,0.00 ,31.83 ,2.64 ,1.12 ,2.41 
66,131.4950537,33.31918375,732264.0094,3689451.582,4116,5041,67.9,133,8.6,189,5.3,114,120,222,15.3,0,3.9,1.2,131.5620438,,0.351,200.0,17,-183.0,2016/03/01,平田温泉,5.32 ,0.09 ,2.38 ,1.97 ,9.65 ,0.39 ,0.00 ,0.20 
67,131.499153,33.32125,732640.2146,3689689.89,4492,5280,69.4,111,7.8,170,0.8,102,168,172,26,1.8,14.4,0.9,182.3403765,8.8,0.309,150.0,3,-147.0,2019/09/26,競輪温泉,4.79 ,0.01 ,2.13 ,2.75 ,7.48 ,0.67 ,0.15 ,0.72 
68,131.4951437,33.32371805,732260.3514,3689954.672,4112,5544,49.8,86,7.9,131,8.5,106,127,130,19.7,6.9,18.6,1,150.7962607,8.8,0.275,,7,,2018/09/27,スパ・メゾン 四ノ湯,3.69 ,0.14 ,2.21 ,2.08 ,5.65 ,0.51 ,0.58 ,0.93 
69,131.495506,33.324221,732292.749,3690011.261,4144,5601,49.4,105,7.7,136,9.2,105,122,127,20.7,8.1,20.9,0.6,140.7944679,22,0.223,40.0,3,-37.0,2019/12/03,LIFULL STAY?,3.83 ,0.15 ,2.19 ,2.00 ,5.52 ,0.53 ,0.68 ,1.05 
70,131.495362,33.32459,732278.3616,3690051.865,4130,5642,48.2,93,7.1,134,9.5,104,121,124,20.4,8.2,21.9,0.9,150.026892,26,0.08,,12,,2019/11/11,まるみや旅館,3.77 ,0.15 ,2.17 ,1.98 ,5.39 ,0.52 ,0.68 ,1.10 
71,131.451004,33.324593,728148.3173,3689954.196,0,5544,49.6,74,6.2,3.9,,101,170,61.3,15.8,19.7,60.5,0.001,130.7926751,379,0.001,,401,,2019/12/04,湯山の里,0.11 ,0.00 ,2.10 ,2.79 ,2.67 ,0.41 ,1.64 ,3.03 
72,131.473019,33.3258,730194.8827,3690136.479,2047,5726,87.2,247,3.5,513,,393,,351,65,11.9,49.9,1.9,228.5024971,43.1,0.509,,100,,2020/01/08,柴石温泉,14.45 ,0.00 ,8.19 ,0.00 ,15.26 ,1.67 ,0.99 ,2.50 
73,131.494268,33.32625138,732172.0923,3690233.687,4024,5823,51.4,97,7.4,122,3,102,115,141,23.8,6.6,16.7,0.7,148.4881547,8.8,0.361,,5,,2016/06/23,亀陽泉,3.44 ,0.05 ,2.13 ,1.89 ,6.13 ,0.61 ,0.55 ,0.84 
74,131.478216,33.32739749,730674.5401,3690325.146,2526,5915,64.2,429,2.7,756,0.5,505,,511,106,17.9,52.7,1.9,183.1097452,10.6,0.342,,48,,2015/08/26, 血の池地獄 asiyu ,21.30 ,0.01 ,10.52 ,0.00 ,22.22 ,2.72 ,1.49 ,2.64 
75,131.4848,33.33005,731280.5235,3690633.925,3132,6224,53.4,129,7.7,217.2,0.8,130.6,184.4,203.3,36.1,8.4,20.6,0.8,166.0297605,,0.291,100.0,13,-87.0,2020/01/23,別府温泉病院,6.12 ,0.01 ,2.72 ,3.02 ,8.84 ,0.93 ,0.70 ,1.03 
76,131.488727,33.33043,731645.1265,3690684.795,3497,6275,44.3,113,7.5,179,0.9,88.6,191,153,23.2,12.7,26.4,0.5,140.7944679,4.4,0.182,80.0,5,-75.0,2019/09/19,太陽の湯,5.04 ,0.01 ,1.85 ,3.13 ,6.65 ,0.59 ,1.06 ,1.32 
77,131.4846262,33.3396586,731238.9312,3691699.207,3091,7289,72,193,6.4,158,,71.9,761,256,44.8,43.8,58.7,0.6,263.8934563,131,0.001,200.0,91,-109.0,2018/02/22,スパランド豊海,4.45 ,0.00 ,1.50 ,12.48 ,11.13 ,1.15 ,3.65 ,2.94 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
